Book_Name,Category,Rating,Price
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,3,57.25
How Music Works,Music,2,37.32
Love Is a Mix Tape (Music #1),Music,1,18.03
Please Kill Me: The Uncensored Oral History of Punk,Music,4,31.19
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,5,45.05
"Chronicles, Vol. 1",Music,2,52.60
This Is Your Brain on Music: The Science of a Human Obsession,Music,1,38.40
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Music,3,12.36
No One Here Gets Out Alive,Music,5,20.02
Life,Music,5,31.58
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Music,2,55.66
Forever Rockers (The Rocker #12),Music,3,28.80
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,3,17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,4,22.60
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,2,13.99
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,3,22.50
Aladdin and His Wonderful Lamp,Default,3,53.13
Penny Maybe,Default,3,33.29
Maude (1883-1993):She Grew Up with the country,Default,2,18.02
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,5,20.59
Soul Reader,Default,2,39.58
Bossypants,Default,2,49.46
A World of Flavor: Your Gluten Free Passport,Default,1,42.95
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,5,56.76
Tracing Numbers on a Train,Default,3,41.60
Thirteen Reasons Why,Default,1,52.72
The Secret (The Secret #1),Default,4,27.37
The Psychopath Test: A Journey Through the Madness Industry,Default,2,36.00
The Kite Runner,Default,4,41.82
The Girl on the Train,Default,2,55.02
The Emerald Mystery,Default,2,23.15
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,3,32.00
The Art of War,Default,Five,33.34
Secrets and Lace (Fatal Hearts #1),Default,One,20.27
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,One,36.94
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,One,41.06
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Default,One,10.76
Large Print Heart of the Pride,Default,Two,19.15
Grumbles,Default,Two,22.16
First Steps for New Christians (Print Edition),Default,One,29.00
Eureka Trivia 6.0,Default,Four,54.59
Drive: The Surprising Truth About What Motivates Us,Default,Four,34.95
Done Rubbed Out (Reightman & Bailey #1),Default,Five,37.72
Beauty Restored (Riley Family Legacy Novellas #3),Default,Two,11.11
Ayumi's Violin,Default,Two,15.48
Anonymous,Default,Four,46.82
Amy Meets the Saints and Sages,Default,Three,18.46
Amatus,Default,Five,50.54
V for Vendetta (V for Vendetta Complete),Default,Four,37.10
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,Two,45.95
The Wright Brothers,Default,Four,56.80
The Songs of the Gods,Default,Five,44.48
The Rosie Project (Don Tillman #1),Default,One,54.04
The Power of Habit: Why We Do What We Do in Life and Business,Default,Three,16.88
Steve Jobs,Default,Five,39.50
Luckiest Girl Alive,Default,Three,49.83
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Default,Four,46.91
Lady Midnight (The Dark Artifices #1),Default,Five,16.28
"Hush, Hush (Hush, Hush #1)",Default,Three,47.02
Greek Mythic History,Default,Five,10.23
Every Last Word,Default,Three,46.47
Daily Fantasy Sports,Default,One,36.58
Clockwork Angel (The Infernal Devices #1),Default,One,44.14
City of Fallen Angels (The Mortal Instruments #4),Default,Four,11.23
City of Bones (The Mortal Instruments #1),Default,One,43.28
City of Ashes (The Mortal Instruments #2),Default,One,47.27
"Carry On, Warrior: Thoughts on Life Unarmed",Default,Three,31.85
Carrie,Default,Two,46.23
Angels & Demons (Robert Langdon #1),Default,Three,51.48
"The Three Searches, Meaning, and the Story",Default,Three,13.33
Raspberry Pi Electronics Projects for the Evil Genius,Default,Four,49.67
How to Speak Golf: An Illustrated Guide to Links Lingo,Default,Five,58.32
Eleanor & Park,Default,Five,56.51
Troublemaker: Surviving Hollywood and Scientology,Default,Two,48.39
Adultery,Default,Five,20.88
Unlimited Intuition Now,Default,Four,58.87
Underlying Notes,Default,Two,11.82
The New Brand You: Your New Image Makes the Sale for You,Default,Five,44.05
The Flowers Lied,Default,Two,16.68
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Default,Four,10.41
Modern Day Fables,Default,Two,47.44
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Default,Five,43.62
The Martian (The Martian #1),Default,Two,41.39
Left Behind (Left Behind #1),Default,Two,40.72
John Vassos: Industrial Design for Modern Life,Default,Four,20.22
I'll Give You the Sun,Default,One,56.48
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Default,Two,52.86
Ender's Game (The Ender Quintet #1),Default,One,43.64
Death by Leisure: A Cautionary Tale,Default,Four,37.51
Wildlife of New York: A Five-Borough Coloring Book,Default,Two,22.14
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,Default,One,34.72
The Great Gatsby,Default,Four,36.05
The Good Girl,Default,Three,49.03
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Default,Four,33.17
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Default,Two,20.90
Life of Pi,Default,Four,13.22
The Sound Of Love,Default,Five,57.84
The Perks of Being a Wallflower,Default,Three,55.02
The Makings of a Fatherless Child,Default,Two,31.58
The Hobbit (Middle-Earth Universe),Default,Five,17.80
The Fellowship of the Ring (The Lord of the Rings #1),Default,Two,10.27
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Default,Three,30.60
Musicophilia: Tales of Music and the Brain,Default,One,46.58
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Default,Four,53.68
The Fault in Our Stars,Default,One,47.22
The Dream Thieves (The Raven Cycle #2),Default,One,34.50
The 5th Wave (The 5th Wave #1),Default,Two,11.83
Shiver (The Wolves of Mercy Falls #1),Default,Five,16.23
Remember Me?,Default,Three,11.48
If I Stay (If I Stay #1),Default,Five,38.13
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Default,Two,36.55
Harry Potter and the Deathly Hallows (Harry Potter #7),Default,One,23.32
Fool Me Once,Default,One,16.96
Drama,Default,Two,38.70
"Blue Lily, Lily Blue (The Raven Cycle #3)",Default,Five,34.13
Alight (The Generations Trilogy #2),Default,Four,58.59
Vogue Colors A to Z: A Fashion Coloring Book,Default,Four,52.35
The Shining (The Shining #1),Default,Three,27.88
The Hunger Games (The Hunger Games #1),Default,Five,29.85
Outlander (Outlander #1),Default,Five,19.67
Mockingjay (The Hunger Games #3),Default,Four,20.44
Harry Potter and the Sorcerer's Stone (Harry Potter #1),Default,Three,13.90
Confessions of a Shopaholic (Shopaholic #1),Default,Two,48.94
Zero History (Blue Ant #3),Default,One,34.77
World War Z: An Oral History of the Zombie War,Default,One,21.80
Wild: From Lost to Found on the Pacific Crest Trail,Default,Three,46.02
"Where'd You Go, Bernadette",Default,One,18.13
Twilight (Twilight #1),Default,Two,41.93
The Paris Wife,Default,Three,36.80
The Maze Runner (The Maze Runner #1),Default,One,20.93
The Lover's Dictionary,Default,Two,58.09
The Goldfinch,Default,Three,43.58
The Giver (The Giver Quartet #1),Default,One,12.30
The Girl Who Played with Fire (Millennium Trilogy #2),Default,Two,22.14
The Demon-Haunted World: Science as a Candle in the Dark,Default,Four,52.25
The Book Thief,Default,Two,53.49
The Autobiography of Malcolm X,Default,Two,23.43
Shopaholic & Baby (Shopaholic #5),Default,Two,46.45
Quiet: The Power of Introverts in a World That Can't Stop Talking,Default,One,43.55
Packing for Mars: The Curious Science of Life in the Void,Default,Two,56.68
Orange Is the New Black,Default,Two,24.61
One for the Money (Stephanie Plum #1),Default,Two,32.87
Morning Star (Red Rising #3),Default,One,29.40
Life After Life,Default,Two,26.13
"Lean In: Women, Work, and the Will to Lead",Default,One,25.02
Is Everyone Hanging Out Without Me? (And Other Concerns),Default,Three,20.11
Gone Girl,Default,Five,37.60
Fellside,Default,One,38.62
Eclipse (Twilight #3),Default,One,18.74
Dracula,Default,Three,52.62
Dead Wake: The Last Crossing of the Lusitania,Default,Five,39.24
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Default,One,17.81
Dark Places,Default,Five,23.90
Breaking Dawn (Twilight #4),Default,Five,35.28
Beautiful Creatures (Caster Chronicles #1),Default,Five,21.55
A Visit from the Goon Squad,Default,Five,14.08
The Zombie Room,Default,Five,19.69
The Name of the Wind (The Kingkiller Chronicle #1),Default,Three,50.59
Taking Shots (Assassins #1),Default,Two,18.88
Shatter Me (Shatter Me #1),Default,One,42.40
Paradise Lost (Paradise #1),Default,One,24.96
On the Road (Duluoz Legend),Default,Three,32.36
Jane Eyre,Default,Five,38.43
Frankenstein,Default,Two,38.00
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,1,37.59
Join,Science Fiction,5,35.67
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,4,43.30
The Project,Science Fiction,1,10.65
Soft Apocalypse,Science Fiction,2,26.12
Sleeping Giants (Themis Files #1),Science Fiction,1,48.74
Arena,Science Fiction,4,21.36
Foundation (Foundation (Publication Order) #1),Science Fiction,1,32.42
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,1,10.92
Ready Player One,Science Fiction,4,19.07
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Science Fiction,2,33.26
Dune (Dune #1),Science Fiction,1,54.86
Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,1,51.48
Three Wishes (River of Time: California #1),Science Fiction,2,44.18
The Last Girl (The Dominion Trilogy #1),Science Fiction,2,36.26
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Science Fiction,4,34.96
The Book of Basketball: The NBA According to The Sports Guy,Sports and Games,5,44.84
"Friday Night Lights: A Town, a Team, and a Dream",Sports and Games,3,51.22
Sugar Rush (Offensive Line #2),Sports and Games,1,24.42
Settling the Score (The Summer Games #1),Sports and Games,2,44.91
Icing (Aces Hockey #2),Sports and Games,4,40.44
The Torch Is Passed: A Harding Family Story,Add a comment,1,19.09
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,4,23.89
The Art Forger,Add a comment,3,40.76
On a Midnight Clear,Add a comment,3,14.07
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,2,53.90
"Shobu Samurai, Project Aryoku (#3)",Add a comment,3,29.06
Modern Romance,Add a comment,5,28.26
The White Queen (The Cousins' War #1),Add a comment,5,25.91
The Song of Achilles,Add a comment,5,37.40
The Immortal Life of Henrietta Lacks,Add a comment,2,40.67
The Dovekeepers,Add a comment,1,48.78
More Than Music (Chasing the Dream #1),Add a comment,2,37.61
Code Name Verity (Code Name Verity #1),Add a comment,4,22.13
Cell,Add a comment,4,20.29
Angels Walking (Angels Walking #1),Add a comment,2,34.20
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,2,56.48
A People's History of the United States,Add a comment,2,40.79
A Brush of Wings (Angels Walking #3),Add a comment,1,55.51
Rook,Add a comment,4,37.86
The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,1,26.20
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,Four,59.15
The Children,Add a comment,Three,11.88
One with You (Crossfire #5),Add a comment,Four,15.71
Without Shame,Add a comment,Five,48.27
Watchmen,Add a comment,Four,58.05
A Hero's Curse (The Unseen Chronicles #1),Add a comment,Three,50.49
23 Degrees South: A Tropical Tale of Changing Whether...,Add a comment,Two,35.79
The Glass Castle,Add a comment,One,16.24
The Drowning Girls,Add a comment,Three,35.67
Team of Rivals: The Political Genius of Abraham Lincoln,Add a comment,Five,20.12
John Adams,Add a comment,Four,57.43
Good in Bed (Cannie Shapiro #1),Add a comment,Five,37.05
The Joy of Cooking,Add a comment,Four,43.27
The Golden Compass (His Dark Materials #1),Add a comment,One,18.77
The God Delusion,Add a comment,Three,46.85
Pride and Prejudice,Add a comment,Four,19.27
Mere Christianity,Add a comment,Three,48.51
Fun Home: A Family Tragicomic,Add a comment,Four,56.59
The Raven King (The Raven Cycle #4),Add a comment,Two,30.57
Find Her (Detective D.D. Warren #8),Add a comment,One,22.37
Evicted: Poverty and Profit in the American City,Add a comment,One,42.27
A Game of Thrones (A Song of Ice and Fire #1),Add a comment,Two,46.42
A Clash of Kings (A Song of Ice and Fire #2),Add a comment,Three,10.79
The Tipping Point: How Little Things Can Make a Big Difference,Add a comment,Two,10.02
The Rest Is Noise: Listening to the Twentieth Century,Add a comment,One,34.77
The Purpose Driven Life: What on Earth Am I Here for?,Add a comment,Three,37.19
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Add a comment,Three,47.80
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),Add a comment,One,57.48
"The End of Faith: Religion, Terror, and the Future of Reason",Add a comment,Four,22.13
The Complete Poems,Add a comment,Five,41.32
The Catcher in the Rye,Add a comment,One,24.55
The Case for Christ (Cases for Christianity),Add a comment,One,47.84
The Blind Side: Evolution of a Game,Add a comment,Five,53.71
Seven Days in the Art World,Add a comment,Two,52.33
Sarah's Key,Add a comment,One,46.29
Rogue Lawyer (Rogue Lawyer #1),Add a comment,Three,50.11
Manuscript Found in Accra,Add a comment,Two,34.98
Fire Bound (Sea Haven/Sisters of the Heart #5),Add a comment,Four,21.28
Cosmos,Add a comment,Two,36.17
#GIRLBOSS,Add a comment,One,50.96
The Sense of an Ending,Add a comment,Three,31.38
The Republic,Add a comment,Three,33.78
The Odyssey,Add a comment,Three,29.64
The Light of the Fireflies,Add a comment,One,54.43
The Iliad,Add a comment,One,16.16
The Communist Manifesto,Add a comment,Three,14.76
Lord of the Flies,Add a comment,Three,24.89
Unicorn Tracks,Fantasy,3,18.78
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,3,25.02
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5,13.34
Masks and Shadows,Fantasy,2,56.40
Crown of Midnight (Throne of Glass #2),Fantasy,3,43.29
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,2,28.09
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,1,52.37
Throne of Glass (Throne of Glass #1),Fantasy,3,35.07
The Glittering Court (The Glittering Court #1),Fantasy,1,44.28
Hollow City (Miss Peregrineâs Peculiar Children #2),Fantasy,1,42.98
The Star-Touched Queen,Fantasy,5,46.02
The Hidden Oracle (The Trials of Apollo #1),Fantasy,2,52.26
The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,4,44.73
Island of Dragons (Unwanteds #7),Fantasy,1,29.65
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,5,37.51
City of Glass (The Mortal Instruments #3),Fantasy,4,56.02
Searching for Meaning in Gailana,Fantasy,1,38.73
The Star-Touched Queen,Fantasy,5,32.30
A Shard of Ice (The Black Symphony Saga #1),Fantasy,3,56.63
King's Folly (The Kinsman Chronicles #1),Fantasy,5,39.61
Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,Five,12.16
A Gathering of Shadows (Shades of Magic #2),Fantasy,Four,44.81
The Raven Boys (The Raven Cycle #1),Fantasy,Four,57.74
The False Prince (The Ascendance Trilogy #1),Fantasy,Five,56.00
Tell the Wind and Fire,Fantasy,Three,45.51
A Feast for Crows (A Song of Ice and Fire #4),Fantasy,Four,17.21
The Demonists (Demonist #1),Fantasy,Two,52.11
The Beast (Black Dagger Brotherhood #14),Fantasy,Five,46.08
Paper and Fire (The Great Library #2),Fantasy,Five,49.45
Harry Potter and the Order of the Phoenix (Harry Potter #5),Fantasy,Four,31.63
Harry Potter and the Half-Blood Prince (Harry Potter #6),Fantasy,Five,48.75
Harry Potter and the Chamber of Secrets (Harry Potter #2),Fantasy,One,14.74
The Rose & the Dagger (The Wrath and the Dawn #2),Fantasy,Four,58.64
Soldier (Talon #3),Fantasy,Two,24.72
Midnight Riot (Peter Grant/ Rivers of London - books #1),Fantasy,Two,55.46
Heir to the Sky,Fantasy,Four,44.07
Eragon (The Inheritance Cycle #1),Fantasy,Three,43.87
Darkfever (Fever #1),Fantasy,One,56.02
Ash,Fantasy,Four,22.06
A Storm of Swords (A Song of Ice and Fire #3),Fantasy,Two,31.22
Vampire Girl (Vampire Girl #1),Fantasy,Two,53.82
The Silent Twin (Detective Jennifer Knight #3),Fantasy,Three,36.25
The Mirror & the Maze (The Wrath and the Dawn #1.5),Fantasy,One,29.38
Sister Sable (The Mad Queen #1),Fantasy,Three,13.33
Shadow Rites (Jane Yellowrock #10),Fantasy,Four,21.72
Origins (Alphas 0.5),Fantasy,One,28.99
One Second (Seven #7),Fantasy,Two,52.94
Myriad (Prentor #1),Fantasy,Four,58.75
Without Borders (Wanderlove #1),New Adult,2,45.07
The Mistake (Off-Campus #2),New Adult,3,43.29
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,1,55.85
The Hook Up (Game On #1),New Adult,5,36.29
Shameless,New Adult,3,58.35
Off Sides (Off #1),New Adult,5,39.45
The Requiem Red,Young Adult,1,22.65
Set Me Free,Young Adult,5,17.46
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,3,45.22
Obsidian (Lux #1),Young Adult,2,14.86
Burning,Young Adult,3,28.81
A Fierce and Subtle Poison,Young Adult,4,28.13
Scarlett Epstein Hates It Here,Young Adult,5,43.55
"Nightingale, Sing",Young Adult,1,38.28
Library of Souls (Miss Peregrineâs Peculiar Children #3),Young Adult,5,48.56
Frostbite (Vampire Academy #2),Young Adult,5,29.99
Wild Swans,Young Adult,2,14.36
Until Friday Night (The Field Party #1),Young Adult,2,46.31
This Is Where It Ends,Young Adult,2,27.12
The Darkest Lie,Young Adult,5,35.35
My Kind of Crazy,Young Adult,1,40.36
Don't Get Caught,Young Adult,1,55.35
Catching Jordan (Hundred Oaks),Young Adult,3,50.83
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,4,58.14
The Epidemic (The Program 0.6),Young Adult,5,14.44
Stars Above (The Lunar Chronicles #4.5),Young Adult,2,48.05
No Love Allowed (Dodge Cove #1),Young Adult,Four,54.65
"Exit, Pursued by a Bear",Young Adult,Four,51.34
The Alien Club,Young Adult,One,54.40
Don't Forget Steven,Young Adult,One,33.23
South of Sunshine,Young Adult,One,28.93
My Life Next Door (My Life Next Door ),Young Adult,Five,36.39
Future Shock (Future Shock #1),Young Adult,Five,55.65
Nightstruck: A Novel,Young Adult,Four,50.35
Tell the Wolves I'm Home,Young Adult,Two,50.96
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Young Adult,Four,47.31
Where She Went (If I Stay #2),Young Adult,Four,41.73
Two Summers,Young Adult,One,14.64
The Darkest Corners,Young Adult,Five,11.33
Tell Me Three Things,Young Adult,One,41.81
Lola and the Boy Next Door (Anna and the French Kiss #2),Young Adult,Four,23.63
Kill the Boy Band,Young Adult,Five,15.52
Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,Five,48.13
An Abundance of Katherines,Young Adult,Five,10.00
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Young Adult,Four,24.17
Walk the Edge (Thunder Road #2),Young Adult,Three,32.36
Two Boys Kissing,Young Adult,Two,32.74
The New Guy (and Other Senior Year Distractions),Young Adult,Three,44.92
"The Land of 10,000 Madonnas",Young Adult,Four,29.64
Scarlet (The Lunar Chronicles #2),Young Adult,Four,14.57
Legend (Legend #1),Young Adult,Four,43.69
Lady Renegades (Rebel Belle #3),Young Adult,Five,53.04
Golden (Heart of Dread #3),Young Adult,Four,42.21
Cinder (The Lunar Chronicles #1),Young Adult,One,26.09
Boy Meets Boy,Young Adult,Three,21.12
Annie on My Mind,Young Adult,Five,36.83
New Moon (Twilight #2),Young Adult,Four,12.86
Girl Online On Tour (Girl Online #2),Young Adult,One,53.47
The Haters,Young Adult,Five,27.89
The Art of Not Breathing,Young Adult,Four,40.83
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,4,42.96
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,5,57.36
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,4,44.74
Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,1,37.55
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Science,1,55.91
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,1,28.41
The Origin of Species,Science,4,10.01
The Grand Design,Science,3,13.76
Peak: Secrets from the New Science of Expertise,Science,2,16.28
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Science,4,13.03
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Science,5,57.35
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Science,2,25.83
Seven Brief Lessons on Physics,Science,4,30.60
The Selfish Gene,Science,1,29.45
A Light in the Attic,Poetry,3,51.77
The Black Maria,Poetry,1,52.15
Shakespeare's Sonnets,Poetry,4,20.66
Olio,Poetry,1,23.88
You can't bury them all: Poems,Poetry,2,33.63
Slow States of Collapse: Poems,Poetry,3,57.31
Untitled Collection: Sabbath Poems 2014,Poetry,4,14.27
Poems That Make Grown Women Cry,Poetry,4,14.19
Night Sky with Exit Wounds,Poetry,1,41.05
salt.,Poetry,4,46.78
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,5,50.89
Out of Print: City Lights Spotlight No. 14,Poetry,5,53.64
Les Fleurs du Mal,Poetry,5,29.04
Howl and Other Poems,Poetry,2,40.45
Leave This Song Behind: Teen Poetry at Its Best,Poetry,5,51.17
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,5,15.42
The Crossover,Poetry,4,38.77
Booked,Poetry,5,17.49
Twenty Love Poems and a Song of Despair,Poetry,4,30.95
"Vampire Knight, Vol. 1 (Vampire Knight #1)",Paranormal,1,15.40
Wall and Piece,Art,4,44.18
Feathers: Displays of Brilliant Plumage,Art,3,49.05
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Art,4,48.63
The New Drawing on the Right Side of the Brain,Art,3,43.02
History of Beauty,Art,4,10.29
The Story of Art,Art,4,41.14
The Art Book,Art,2,32.34
Ways of Seeing,Art,5,39.51
The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,1,10.40
The Golden Condom: And Other Essays on Love Lost and Found,Psychology,1,39.43
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,3,56.27
An Unquiet Mind: A Memoir of Moods and Madness,Psychology,3,21.30
"Thinking, Fast and Slow",Psychology,1,21.14
Civilization and Its Discontents,Psychology,2,59.95
8 Keys to Mental Health Through Exercise,Psychology,1,31.04
The Argonauts,Autobiography,2,10.93
M Train,Autobiography,1,27.18
Lab Girl,Autobiography,1,40.85
Approval Junkie: Adventures in Caring Too Much,Autobiography,5,58.81
Running with Scissors,Autobiography,4,12.91
Me Talk Pretty One Day,Autobiography,2,57.60
Lust & Wonder,Autobiography,2,11.87
Life Without a Recipe,Autobiography,5,59.04
A Heartbreaking Work of Staggering Genius,Autobiography,5,54.29
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,Parenting,2,37.35
Fifty Shades Freed (Fifty Shades #3),Adult Fiction,5,15.36
The Long Haul (Diary of a Wimpy Kid #9),Humor,1,44.07
Old School (Diary of a Wimpy Kid #10),Humor,5,11.83
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,4,25.98
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,5,14.75
Dress Your Family in Corduroy and Denim,Humor,3,43.68
Toddlers Are A**holes: It's Not Your Fault,Humor,1,25.55
When You Are Engulfed in Flames,Humor,5,30.89
Naked,Humor,3,31.69
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Humor,5,55.50
Holidays on Ice,Humor,2,51.07
Security,Horror,2,39.25
Follow You Home,Horror,1,21.36
The Loney,Horror,1,23.40
Pet Sematary,Horror,3,10.56
Doctor Sleep (The Shining #2),Horror,2,40.12
Psycho: Sanitarium (Psycho #1.5),Horror,5,36.97
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,1,48.64
Red Dragon (Hannibal Lecter #1),Horror,3,23.37
Dracula the Un-Dead,Horror,5,35.63
Night Shift (Night Shift #1-20),Horror,4,12.75
Needful Things,Horror,4,47.51
Misery,Horror,2,34.79
It,Horror,3,25.01
'Salem's Lot,Horror,4,49.56
The Stand,Horror,2,57.86
The Girl with All the Gifts,Horror,3,49.47
House of Leaves,Horror,1,54.89
Sapiens: A Brief History of Humankind,History,5,54.23
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,1,25.52
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,1,19.73
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,2,36.28
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,1,59.64
Zealot: The Life and Times of Jesus of Nazareth,History,3,24.70
A Distant Mirror: The Calamitous 14th Century,History,3,14.58
1491: New Revelations of the Americas Before Columbus,History,3,21.80
Brilliant Beacons: A History of the American Lighthouse,History,3,11.45
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,5,44.48
A Short History of Nearly Everything,History,5,52.40
The Rise and Fall of the Third Reich: A History of Nazi Germany,History,2,39.67
Catherine the Great: Portrait of a Woman,History,4,58.55
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,5,42.91
The Hiding Place,History,4,55.91
America's War for the Greater Middle East: A Military History,History,2,51.22
The Guns of August,History,2,14.54
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",History,2,43.70
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,3,30.52
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,1,56.41
My Paris Kitchen: Recipes and Stories,Food and Drink,2,33.37
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,4,14.02
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,1,40.11
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,5,37.34
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,2,37.60
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,1,41.25
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,3,42.16
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,3,28.77
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,1,19.55
